City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI,AQI_Bucket,PM10_SubIndex,PM2.5_SubIndex,SO2_SubIndex,NO_SubIndex,NH3_SubIndex,CO_SubIndex,O3_SubIndex
Gaibandha,108.44,122.6,9.42,1.71,507.36,0.15,178.81,7.85,261.46666666666664,Poor,115.06666666666666,261.46666666666664,11.775,0.1875,1.9625,3184.470588235294,227.025
Kurigram,162.19,181.09,10.97,1.78,714.3,0.14,183.11,13.05,332.45384615384614,Very Poor,154.06,332.45384615384614,13.7125,0.17500000000000002,3.2625,4401.764705882353,237.77500000000003
Lalmonirhat,217.6,240.35,11.56,1.89,907.9,0.14,194.55,15.07,375.0769230769231,Very Poor,193.56666666666666,375.0769230769231,14.45,0.17500000000000002,3.7675,5540.588235294118,266.375
Nilphamari,192.95,212.99,9.78,1.63,841.14,0.13,185.97,13.81,356.1153846153846,Very Poor,175.32666666666665,356.1153846153846,12.224999999999998,0.1625,3.4525,5147.882352941177,244.925
Panchagarh,260.48,283.56,8.94,1.61,1108.17,0.12,173.09,12.54,408.0615384615385,Severe,233.56,408.0615384615385,11.175,0.15,3.135,6718.64705882353,212.72500000000002
Rangpur,145.32,161.29,8.11,1.69,674.25,0.14,183.11,12.54,319.4769230769231,Very Poor,140.85999999999999,319.4769230769231,10.1375,0.17500000000000002,3.135,4166.176470588235,237.77500000000003
Thakurgaon,238.24,262.93,10.25,1.67,1028.06,0.13,178.81,15.2,390.95384615384614,Very Poor,212.93,390.95384615384614,12.8125,0.1625,3.8,6247.411764705882,227.025
Barguna,75.95,96.55,2.83,0.3,337.12,0.03,101.57,0.0,153.16666666666669,Moderate,96.55,153.16666666666669,3.5375,0.0375,0.0,2183.0588235294117,102.30882352941175
Barisal,86.78,106.19,8.7,0.94,380.52,0.08,130.18,2.57,189.26666666666665,Moderate,104.12666666666667,189.26666666666665,10.874999999999998,0.1,0.6425,2438.3529411764703,144.3823529411765
Bhola,76.91,97.8,2.47,0.17,343.8,0.01,111.58,0.0,156.36666666666665,Moderate,97.8,156.36666666666665,3.0875000000000004,0.0125,0.0,2222.3529411764703,117.02941176470588
Jhalokati,82.03,101.75,6.5,0.71,363.83,0.06,117.3,1.55,173.43333333333334,Moderate,101.16666666666667,173.43333333333334,8.125,0.075,0.3875,2340.176470588235,125.44117647058823
Patuakhali,76.08,93.62,4.17,0.42,343.8,0.03,113.01,0.08,153.6,Moderate,93.62,153.6,5.2125,0.0375,0.02,2222.3529411764703,119.13235294117648
Pirojpur,85.57,102.87,10.37,1.35,380.52,0.13,133.04,1.47,185.2333333333333,Moderate,101.91333333333334,185.2333333333333,12.9625,0.1625,0.3675,2438.3529411764703,148.58823529411762
Bandarban,99.37,106.43,3.55,0.92,433.92,0.1,127.32,0.2,231.23333333333335,Poor,104.28666666666668,231.23333333333335,4.4375,0.125,0.05,2752.470588235294,140.17647058823528
Brahmanbaria,86.35,103.0,19.31,5.4,387.19,0.55,167.37,3.1,187.83333333333331,Moderate,102.0,187.83333333333331,24.137499999999996,0.6875000000000001,0.775,2477.5882352941176,199.0735294117647
Chandpur,79.02,95.78,9.3,1.01,383.85,0.06,134.47,1.79,163.39999999999998,Moderate,95.78,163.39999999999998,11.625000000000002,0.075,0.4475,2457.9411764705883,150.69117647058823
Chittagong,105.25,114.45,9.18,4.37,453.95,0.5,135.9,0.0,250.83333333333334,Poor,109.63333333333334,250.83333333333334,11.475,0.625,0.0,2870.294117647059,152.79411764705884
Comilla,76.51,91.32,7.75,1.14,383.85,0.1,131.61,2.88,155.03333333333336,Moderate,91.32,155.03333333333336,9.6875,0.125,0.72,2457.9411764705883,146.48529411764707
CoxBazar,93.83,100.61,2.89,0.76,423.91,0.07,133.04,0.0,212.76666666666665,Poor,100.40666666666667,212.76666666666665,3.6125,0.08750000000000001,0.0,2693.5882352941176,148.58823529411762
Feni,73.6,86.47,2.62,0.65,363.83,0.04,105.86,1.05,145.33333333333331,Moderate,86.47,145.33333333333331,3.275,0.05,0.2625,2340.176470588235,108.61764705882354
Khagrachari,88.65,97.36,2.68,0.65,397.21,0.04,118.73,0.0,195.5,Moderate,97.36,195.5,3.35,0.05,0.0,2536.529411764706,127.54411764705883
Lakshmipur,76.35,94.65,3.46,0.58,353.81,0.04,105.86,1.6,154.5,Moderate,94.65,154.5,4.325,0.05,0.4,2281.235294117647,108.61764705882354
Noakhali,75.84,91.96,2.3,0.49,353.81,0.05,100.14,1.05,152.8,Moderate,91.96,152.8,2.8749999999999996,0.0625,0.2625,2281.235294117647,100.20588235294117
Rangamati,98.68,106.88,8.23,1.18,427.25,0.08,154.5,0.0,228.93333333333337,Poor,104.58666666666666,228.93333333333337,10.2875,0.1,0.0,2713.235294117647,180.1470588235294
Habiganj,90.77,104.53,12.28,4.2,407.22,0.36,160.22,3.67,202.56666666666666,Poor,103.02,202.56666666666666,15.35,0.45,0.9175,2595.4117647058824,188.55882352941177
Maulvibazar,77.05,88.3,8.11,3.73,403.88,0.32,158.79,3.1,156.83333333333331,Moderate,88.3,156.83333333333331,10.1375,0.4,0.775,2575.764705882353,186.45588235294116
Sunamganj,52.77,58.89,5.96,1.71,433.92,0.18,105.86,2.25,87.95000000000002,Satisfactory,58.89,87.95000000000002,7.45,0.225,0.5625,2752.470588235294,108.61764705882354
Sylhet,41.06,43.75,2.27,2.16,440.6,0.26,105.86,2.34,68.43333333333334,Satisfactory,43.75,68.43333333333334,2.8375,0.325,0.585,2791.764705882353,108.61764705882354
Bagerhat,91.23,109.42,14.07,2.79,423.91,0.22,171.66,3.45,204.10000000000002,Poor,106.28,204.10000000000002,17.5875,0.275,0.8625,2693.5882352941176,209.14999999999998
